city Name,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Lng,Latitude,Date
Saint Anthony,30.78,80,1,9.17,-93.22,45.02,3/4/2020
Paamiut,1.98,48,0,5.61,-49.67,61.99,3/4/2020
Kungurtug,29.8,78,100,0.98,97.52,50.6,3/4/2020
Carandaí,63.48,97,70,3.47,-43.81,-20.95,3/4/2020
Mokhsogollokh,10.44,86,65,6.8,128.92,61.47,3/4/2020
Kudus,87.8,70,20,13.87,110.84,-6.8,3/4/2020
Cham,33.55,83,75,4.5,8.46,47.18,3/4/2020
Bar Harbor,40.03,100,90,4.7,-68.2,44.39,3/4/2020
Schneverdingen,34.27,94,75,4.7,9.8,53.12,3/4/2020
Kinablangan,82.13,68,30,10.16,126.55,7.69,3/4/2020
Faya,60.75,77,0,11.41,42.45,18.39,3/4/2020
Tiarei,82.22,78,20,5.82,-149.33,-17.53,3/4/2020
Aranos,69.66,61,32,12.88,19.12,-24.13,3/4/2020
Coahuayana Viejo,68.38,67,0,3.96,-103.68,18.73,3/4/2020
Raudeberg,38.82,64,20,11.41,5.14,61.99,3/4/2020
Terrace,35.6,93,90,12.75,-128.6,54.52,3/4/2020
Kota Belud,87.8,74,20,6.93,116.43,6.35,3/4/2020
Tual,84.69,70,95,8.25,132.75,-5.67,3/4/2020
Māndal,82.33,21,13,2.44,74.57,25.45,3/4/2020
Wanning,78.49,69,19,8.37,110.4,18.8,3/4/2020
Helena,40.06,41,1,8.05,-112.04,46.59,3/4/2020
Almaşu Mare,44.82,89,89,1.32,23.13,46.1,3/4/2020
Clyde River,-18.4,82,20,12.75,-68.59,70.47,3/4/2020
Arrondissement d'Ajaccio,40.69,86,18,6.93,8.92,42,3/4/2020
Skjervøy,23,57,0,17.22,20.97,70.03,3/4/2020
Kharp,5.18,89,63,11.77,65.81,66.8,3/4/2020
Moose Factory,19.4,85,90,4.7,-80.61,51.26,3/4/2020
Beringovskiy,3.52,60,0,7.34,179.32,63.05,3/4/2020
Semirara,79.65,80,50,20.29,121.4,12.07,3/4/2020
Itaituba,73.15,99,100,1.45,-55.98,-4.28,3/4/2020
Taksimo,8.98,81,100,2.28,114.88,56.34,3/4/2020
Celestún,79.23,71,0,16.58,-90.4,20.87,3/4/2020
San Cristobal,80.6,69,40,2.24,-72.22,7.77,3/4/2020
Pajapan,73.45,63,0,7.92,-94.7,18.25,3/4/2020
Oxford,34,100,100,4.7,-1.26,51.75,3/4/2020
Tigil',10.83,90,6,1.07,158.67,57.8,3/4/2020
Nassau,48.97,76,90,9.17,-73.58,40.75,3/4/2020
Hailar,6.46,91,92,11.34,119.7,49.2,3/4/2020
Luwuk,79.56,85,100,1.79,122.79,-0.95,3/4/2020
Katsuura,51.69,87,75,10.29,140.3,35.13,3/4/2020
Saint-Pierre,82.2,88,75,10.29,55.48,-21.34,3/4/2020
Hambantota,84.2,79,75,2.24,81.12,6.12,3/4/2020
Rivadavia,78.8,41,0,3.36,-68.46,-33.19,3/4/2020
Kirksville,41.34,48,1,9.17,-92.58,40.19,3/4/2020
Bilibino,-4.65,64,0,1.45,166.44,68.05,3/4/2020
Logan,31.57,59,1,3.29,-111.83,41.74,3/4/2020
Venice,67.55,100,1,6.93,-82.45,27.1,3/4/2020
Iquique,69.8,68,29,3.36,-70.14,-20.22,3/4/2020
Natal,79.7,88,20,2.24,-35.21,-5.79,3/4/2020
Bantogon,82.58,66,36,7.81,124.03,6.53,3/4/2020
Shushenskoye,28.4,92,75,2.24,91.94,53.33,3/4/2020
Westerland,32.5,93,0,1.01,8.3,54.91,3/4/2020
Carlow,36.84,86,75,3.36,-6.93,52.84,3/4/2020
Devils Lake,18.39,92,1,3.36,-98.87,48.11,3/4/2020
Praia da Vitória,64.4,82,75,22.32,-27.07,38.73,3/4/2020
Huntington,45.9,45,1,6.93,-82.45,38.42,3/4/2020
Bilma,64.6,11,0,3.09,12.92,18.69,3/4/2020
Kalispell,42.64,52,90,10.29,-114.31,48.2,3/4/2020
Kota Kinabalu,87.8,74,20,6.93,116.07,5.97,3/4/2020
Tezu,78.96,27,78,5.12,96.17,27.92,3/4/2020
Novominskaya,49.28,62,98,8.05,38.96,46.32,3/4/2020
Dafeng,51.13,96,100,5.93,108.59,23.45,3/4/2020
Bukachacha,11.59,82,100,5.32,116.92,52.98,3/4/2020
Bentiu,85.86,8,11,6.78,29.83,9.23,3/4/2020
Kruisfontein,79.81,44,0,5.97,24.73,-34,3/4/2020
Kastamonu Province,43.36,65,69,3.56,33.67,41.5,3/4/2020
Guerrero Negro,59.5,82,0,10.92,-114.06,27.98,3/4/2020
Porto-Novo,82.4,88,20,8.05,2.6,6.5,3/4/2020
Portland,49.44,62,90,4.7,-122.68,45.52,3/4/2020
Isfana,46.4,75,20,6.71,69.53,39.84,3/4/2020
Iralaya,80.38,80,4,15.99,-83.23,15,3/4/2020
Riberalta,73.38,96,100,2.21,-66.1,-10.98,3/4/2020
Fatehpur,85.37,25,55,8.59,80.8,25.93,3/4/2020
Talnakh,15.8,85,75,11.18,88.4,69.49,3/4/2020
Mogwase,68.41,62,0,2.55,27.27,-25.18,3/4/2020
Henties Bay,69.01,84,74,1.72,14.28,-22.12,3/4/2020
Gillette,33.37,69,1,16.11,-105.5,44.29,3/4/2020
Chernyshevskiy,16.41,88,100,7.29,112.47,63.01,3/4/2020
Petrozavodsk,19.4,92,81,6.71,34.35,61.78,3/4/2020
Salalah,84.2,26,0,9.17,54.09,17.02,3/4/2020
Jumla,63,92,0,5.84,82.18,29.27,3/4/2020
Batagay-Alyta,-0.33,83,93,5.06,130.41,67.8,3/4/2020
Anadyr,5,77,0,13.42,177.48,64.75,3/4/2020
Atambua,81.1,80,100,5.41,124.89,-9.11,3/4/2020
Brae,38.95,86,97,8.05,-1.35,60.4,3/4/2020
Chengzhong,57.2,50,83,4.47,113.55,30.95,3/4/2020
Naze,64.4,88,75,5.82,129.48,28.37,3/4/2020
Mahbūbābād,90.82,34,37,11.52,80.02,17.62,3/4/2020
Hervey Bay,84.61,54,58,14.99,152.85,-25.3,3/4/2020
Lal'sk,19.31,92,100,6.98,47.59,60.74,3/4/2020
Mae Hong Son,89.6,38,20,5.82,97.97,19.3,3/4/2020
Ambulu,82.74,77,93,5.46,113.61,-8.35,3/4/2020
Bengkulu,82.54,82,100,6.26,102.27,-3.8,3/4/2020
Abalak,32.63,98,100,10.49,68.59,58.13,3/4/2020
Mogadishu,80.6,69,20,5.82,45.34,2.04,3/4/2020
Tramandaí,72.54,74,90,8.5,-50.13,-29.98,3/4/2020
Boende,76.98,78,91,3.36,20.87,-0.22,3/4/2020
Mayo,50.88,66,1,5.82,-76.51,38.89,3/4/2020
St. Pete Beach,68.18,88,1,5.68,-82.74,27.73,3/4/2020
Katherine,91.4,55,40,9.17,132.27,-14.47,3/4/2020
Itacoatiara,76.1,96,100,2.75,-58.44,-3.14,3/4/2020
Elko,32.52,88,1,5.35,-115.5,41,3/4/2020
Lorengau,83.84,78,97,22.55,147.27,-2.02,3/4/2020
Novyy Urgal,22.08,79,100,1.25,132.56,51.07,3/4/2020
Krasnovka,44.51,83,90,5.44,40.09,48.82,3/4/2020
Qazvin,39.2,75,1,4.7,50,36.28,3/4/2020
Imeni Babushkina,26.58,83,100,7.87,43.13,59.76,3/4/2020
San Vicente,62.37,83,0,2.39,-54.13,-26.62,3/4/2020
Maumere,82.63,78,100,3.56,122.21,-8.62,3/4/2020
Greenville,57.47,87,1,4.7,-77.37,35.61,3/4/2020
Tonota,60.8,100,20,6.93,27.48,-21.48,3/4/2020
Tianmen,58.39,55,100,6.04,113.16,30.65,3/4/2020
Boyuibe,64.09,60,21,2.75,-63.28,-20.42,3/4/2020
Voh,82.08,70,0,9.15,164.7,-20.97,3/4/2020
Tuatapere,57,50,14,8.99,167.68,-46.13,3/4/2020
Mozarlândia,72.16,96,23,1.86,-50.57,-14.74,3/4/2020
Fort Nelson,26.6,49,75,13.87,-122.7,58.81,3/4/2020
Korem,62.06,73,31,4.5,39.52,12.51,3/4/2020
Aripuanã,72.66,99,100,0.87,-60.63,-9.17,3/4/2020
Imbituba,68,100,100,5.82,-48.67,-28.24,3/4/2020
That Phanom,82.65,52,75,2.24,104.71,16.94,3/4/2020
La Ronge,24.8,85,90,10.29,-105.28,55.1,3/4/2020
Uusikaupunki,36.28,93,90,17.22,21.41,60.8,3/4/2020
São Gabriel da Cachoeira,73.45,97,100,1.21,-67.09,-0.13,3/4/2020
Show Low,33.42,38,1,5.82,-110.03,34.25,3/4/2020
Nakamura,49.93,88,100,7.02,132.93,32.98,3/4/2020
Sūsangerd,57.2,71,0,2.24,48.18,31.56,3/4/2020
Maniitsoq,5.65,49,0,3.11,-52.9,65.42,3/4/2020
Yulara,84.2,26,0,12.75,130.99,-25.24,3/4/2020
Maragogi,83.14,70,66,8.63,-35.22,-9.01,3/4/2020
Lázaro Cárdenas,70.59,86,0,2.75,-102.2,17.96,3/4/2020
Shitanjing,40.66,18,0,3.36,106.34,39.23,3/4/2020
Umluj,80.71,9,0,4.41,37.27,25.02,3/4/2020
Lethem,77.58,60,0,11.81,-59.8,3.38,3/4/2020
Vostok,26.53,93,100,2.8,135.88,46.49,3/4/2020
Maiquetia,73.36,88,40,4.05,-66.95,10.6,3/4/2020
Zalţan,58.89,39,45,22.82,11.87,32.95,3/4/2020
Haines Junction,-1.84,99,93,2.13,-137.51,60.75,3/4/2020
Kinel’-Cherkassy,30.79,98,99,6.2,51.47,53.47,3/4/2020
Tiruchchendur,87.8,62,20,4.7,78.12,8.48,3/4/2020
Opuwo,68.2,66,0,7.52,13.84,-18.06,3/4/2020
Olafsvik,29.66,72,28,11.97,-23.71,64.89,3/4/2020
Rabat,48.54,100,0,8.05,-6.84,33.99,3/4/2020
Talalayivka,43.47,92,100,8.97,31.92,50.96,3/4/2020
Fairbanks,-12.64,75,1,1.99,-147.72,64.84,3/4/2020
Kodarmā,84.92,31,0,7.34,85.6,24.47,3/4/2020
Mimongo,70.68,97,100,1.5,11.61,-1.62,3/4/2020
Jaciara,67.33,82,0,1.3,-54.97,-15.97,3/4/2020
Nieuw Amsterdam,73.24,94,24,2.24,-55.08,5.88,3/4/2020
Jagdalpur,88.48,30,10,10.09,82.03,19.07,3/4/2020
Pokhara,79,23,0,3.76,83.98,28.23,3/4/2020
Yarim,62.53,41,13,5.59,44.38,14.3,3/4/2020
Mago,19.27,77,83,1.99,140.18,53.25,3/4/2020
Uddevalla,37.11,93,90,3.36,11.94,58.35,3/4/2020
Arrondissement de Tulle,33.58,98,100,2.24,1.83,45.33,3/4/2020
Verkhnyaya Inta,13.69,91,100,27.72,60.31,65.98,3/4/2020
Alofi,80.6,83,36,2.24,-169.92,-19.06,3/4/2020
Skibbereen,37.4,100,75,11.41,-9.27,51.55,3/4/2020
Valparai,87.8,66,40,6.93,76.97,10.37,3/4/2020
São José da Coroa Grande,83.14,70,66,8.63,-35.15,-8.9,3/4/2020
Neustrelitz,32.52,90,0,8.12,13.08,53.37,3/4/2020
Barra de Tecoanapa,70.61,90,0,2.57,-98.75,16.52,3/4/2020
